,,OPERATE Time,STOP Time,ALARM Time,EMERGENCY Time,MANUAL Time,SUSPEND Time,DISCONNECT Time
,Prefix / Suffix,OPERATE.statustime,STOP.statustime,ALARM.statustime,EMERGENCY.statustime,MANUAL.statustime,SUSPEND.statustime,DISCONNECT.statustime
Past 1 month,MONTH,625738,151236.5,6794,1719,0,518693.5,1366628.5
1Weekｓ,1WEEKS,171996,39477,1579,200.5,0,135205.5,256342
2Weekｓ,2WEEKS,162704.5,33053.5,221,281,0,160323.5,240626
3Weekｓ,3WEEKS,133339,26632,4881.5,1155,0,116240.5,322552
4Weekｓ,4WEEKS,157698.5,52074,112.5,82.5,0,106924,287908.5
5Weekｓ,5WEEKS,0,0,0,0,0,0,259200
Monday,MON,111843,29502,115.5,73.5,0,97590,192876
Tuesday,TUE,115119,30630,91,103.5,0,99665.5,93811.5
Wednesday,WED,116413.5,28101,4257.5,1075.5,0,95829.5,99923
Thursday,THU,122088.5,25584.5,1380.5,158,0,91548.5,104840
Friday,FRI,89665.5,20586.5,879,168.5,0,72258.5,162042
Saturday,SAT,70608.5,16832.5,70.5,140,0,61801.5,281136
Sunday,SUN,0,0,0,0,0,0,432000
0 TO 1 O'clock,HR_0TO1,38800.5,6456.5,14,20,0,19337.5,46971.5
1 TO 2 O'clock,HR_1TO2,6233.5,3162,3.5,340.5,0,467,101393.5
2 TO 3 O'clock,HR_2TO3,6838,209.5,0,0,0,152.5,104400
3 TO 4 O'clock,HR_3TO4,5010.5,355.5,103,20,0,1834.5,104276.5
4 TO 5 O'clock,HR_4TO5,4903.5,665,0,0,0,1631.5,104400
5 TO 6 O'clock,HR_5TO6,5031.5,184,0,0,0,1984.5,101078.5
6 TO 7 O'clock,HR_6TO7,5759,1441,0,0,0,0,101542
7 TO 8 O'clock,HR_7TO8,3402.5,3559.5,183,106.5,0,1373,102975.5
8 TO 9 O'clock,HR_8TO9,46747.5,9749,304,156,0,17677,36966.5
9 TO 10 O'clock,HR_9TO10,40465,5844.5,11,25,0,28039,36563
10 TO 11 O'clock,HR_10TO11,32932.5,11068,9.5,19.5,0,30989,36581.5
11 TO 12 O'clock,HR_11TO12,35483,11122,1354.5,0,0,28188.5,35060
12 TO 13 O'clock,HR_12TO13,20212,15263,4130.5,22,0,38432.5,33173.5
13 TO 14 O'clock,HR_13TO14,37449.5,5617.5,6,0,0,32527,36000
14 TO 15 O'clock,HR_14TO15,34830.5,10355.5,32,0,0,30693.5,35688.5
15 TO 16 O'clock,HR_15TO16,31352.5,11645,135,591,0,32814,35062.5
16 TO 17 O'clock,HR_16TO17,46249.5,8892.5,39.5,356,0,21724,34338.5
17 TO 18 O'clock,HR_17TO18,36471.5,4351.5,2.5,0,0,34774.5,36000
18 TO 19 O'clock,HR_18TO19,32889,3696.5,0,21.5,0,36405,38588
19 TO 20 O'clock,HR_19TO20,38569,5527.5,2.5,0,0,28167.5,39333.5
20 TO 21 O'clock,HR_20TO21,21006,10556.5,3.5,0,0,44034,36000
21 TO 22 O'clock,HR_21TO22,37979,7484,8,41,0,29851,36237
22 TO 23 O'clock,HR_22TO23,29430.5,5418,17,0,0,29536,47198.5
23 TO 24 O'clock,HR_23TO24,27692,8612.5,435,0,0,28060.5,46800
Aggregate 1 day,DAY_1,23483,6950,8,40.5,0,19939,35979.5
Aggregate 2 day,DAY_2,0,0,0,0,0,0,86400
Aggregate 3 day,DAY_3,27494,8290,26,21.5,0,19613,30955.5
Aggregate 4 day,DAY_4,30866,6678,8,20.5,0,23966.5,24861
Aggregate 5 day,DAY_5,27825,5034,53.5,58.5,0,26048.5,27380.5
Aggregate 6 day,DAY_6,31905.5,7613.5,1321.5,19.5,0,20253,25287
Aggregate 7 day,DAY_7,30422.5,4911.5,162,40,0,25385.5,25478.5
Aggregate 8 day,DAY_8,23791,2877.5,46,58,0,22091,36125.5
Aggregate 9 day,DAY_9,0,0,0,0,0,0,86400
Aggregate 10 day,DAY_10,30751,2924.5,4,0,0,27776.5,24944
Aggregate 11 day,DAY_11,27880.5,6879.5,16,21,0,26482.5,18941
Aggregate 12 day,DAY_12,27310,7553.5,0,23.5,0,26713.5,24799.5
Aggregate 13 day,DAY_13,23464,4423,21,97.5,0,33717.5,24677
Aggregate 14 day,DAY_14,29508,8395.5,134,81,0,23542.5,24739
Aggregate 15 day,DAY_15,0,0,0,0,0,0,86400
Aggregate 16 day,DAY_16,0,0,0,0,0,0,86400
Aggregate 17 day,DAY_17,30191.5,2778,53.5,52,0,27877,25448
Aggregate 18 day,DAY_18,26492.5,8560,9.5,42,0,25969.5,25326.5
Aggregate 19 day,DAY_19,17494,3632.5,4200,993.5,0,12337,47743
Aggregate 20 day,DAY_20,29426,4382,35.5,20,0,26726.5,25810
Aggregate 21 day,DAY_21,29735,7279.5,583,47.5,0,23330.5,25424.5
Aggregate 22 day,DAY_22,23334.5,7005,16.5,41.5,0,19771.5,36231
Aggregate 23 day,DAY_23,0,0,0,0,0,0,86400
Aggregate 24 day,DAY_24,23406.5,15509.5,32,0,0,22323.5,25128.5
Aggregate 25 day,DAY_25,29880,8512.5,57.5,20,0,23247,24683
Aggregate 26 day,DAY_26,43784.5,11881,4,0,0,30730.5,0
Aggregate 27 day,DAY_27,37293,9166,2.5,21,0,10851.5,29066
Aggregate 28 day,DAY_28,0,0,0,0,0,0,86400
Aggregate 29 day,DAY_29,0,0,0,0,0,0,86400
Aggregate 30 day,DAY_30,0,0,0,0,0,0,86400
Aggregate 31 day,DAY_31,0,0,0,0,0,0,86400
