,PERIOD,OPERATE Time,STOP Time,ALARM Time,EMERGENCY Time,MANUAL Time,SUSPEND Time,DISCONNECT Time
,Prefix / Suffix,OPERATE.statustime,STOP.statustime,ALARM.statustime,EMERGENCY.statustime,MANUAL.statustime,SUSPEND.statustime,DISCONNECT.statustime
Past 1 month,MONTH,912854,826317.5,7714,1683.5,0,91208.5,232286
1Week?,1WEEKS,156254,310687.5,2965.5,302.5,0,46682,87908.5
2Week?,2WEEKS,243888,247752.5,926,66.5,0,23346.5,87874.5
3Week?,3WEEKS,358174.5,171762.5,1376.5,1314.5,0,15260,56321.5
4Week?,4WEEKS,154537.5,96115,2446,0,0,5920,181.5
5Week?,5WEEKS,0,0,0,0,0,0,0
Monday,MON,150525.5,171644,435,1247,0,19512,1290.5
Tuesday,TUE,145023,174057,3112,29,0,23285.5,93.5
Wednesday,WED,187006,143728.5,558,40.5,0,13649,618
Thursday,THU,117327.5,125771.5,1197,195,0,14028,681
Friday,FRI,127100,119403,665.5,0,0,12031.5,0
Saturday,SAT,162742,85644.5,1661.5,68,0,7351.5,1142
Sunday,SUN,23130,6069,85,104,0,1351,228461
0 TO 1 O'clock,HR_0TO1,37847,31689.5,232,68,0,4637,11926.5
1 TO 2 O'clock,HR_1TO2,38360,33207.5,188,60,0,3222.5,11362
2 TO 3 O'clock,HR_2TO3,30088.5,40893.5,95,0,0,4523,10800
3 TO 4 O'clock,HR_3TO4,38087.5,34245,309,0,0,2958.5,10800
4 TO 5 O'clock,HR_4TO5,42112,26113.5,456,0,0,6918.5,10800
5 TO 6 O'clock,HR_5TO6,43991,26035.5,569.5,0,0,5004,10800
6 TO 7 O'clock,HR_6TO7,41476,26724.5,1892.5,0,0,5507,10800
7 TO 8 O'clock,HR_7TO8,41780,31475.5,69.5,104,0,2390,10581
8 TO 9 O'clock,HR_8TO9,35859,39268,883,75.5,0,2959,7355.5
9 TO 10 O'clock,HR_9TO10,37606.5,35051.5,175.5,2.5,0,6364,7200
10 TO 11 O'clock,HR_10TO11,42973,31415,48.5,684,0,3713.5,7566
11 TO 12 O'clock,HR_11TO12,41747.5,31562.5,355.5,500.5,0,3604.5,7683.5
12 TO 13 O'clock,HR_12TO13,28549.5,45335,105,0,0,5210.5,7200
13 TO 14 O'clock,HR_13TO14,42845,29950.5,125,0,0,6279.5,7200
14 TO 15 O'clock,HR_14TO15,48780,27764,140.5,0,0,2515.5,7200
15 TO 16 O'clock,HR_15TO16,43584,32796.5,19.5,0,0,2800,7200
16 TO 17 O'clock,HR_16TO17,33874,36764,482.5,88.5,0,5387.5,9766.5
17 TO 18 O'clock,HR_17TO18,36679,37066,348,29,0,820.5,10904
18 TO 19 O'clock,HR_18TO19,33493,40313.5,158,31,0,1511.5,10893
19 TO 20 O'clock,HR_19TO20,33351.5,36757.5,105.5,0,0,5385.5,10800
20 TO 21 O'clock,HR_20TO21,21504.5,50926,52.5,0,0,3117,10800
21 TO 22 O'clock,HR_21TO22,30526.5,42416.5,685,20.5,0,1858.5,10893
22 TO 23 O'clock,HR_22TO23,46860.5,26291,158.5,20,0,2115,10955
23 TO 24 O'clock,HR_23TO24,40878.5,32255.5,60,0,0,2406,10800
Aggregate 1 day,DAY_1,40234,37542,44,37,0,8485.5,57.5
Aggregate 2 day,DAY_2,22438.5,50429,666.5,29,0,12743.5,93.5
Aggregate 3 day,DAY_3,23179.5,54620.5,37,20.5,0,8449.5,93
Aggregate 4 day,DAY_4,24612.5,51107,513.5,195,0,9291,681
Aggregate 5 day,DAY_5,20193,60174,229.5,0,0,5803.5,0
Aggregate 6 day,DAY_6,25596.5,56815,1475,21,0,1909,583.5
Aggregate 7 day,DAY_7,0,0,0,0,0,0,86400
Aggregate 8 day,DAY_8,23795.5,58811.5,100,23,0,2170.5,553.5
Aggregate 9 day,DAY_9,24767,54596,171.5,0,0,6865.5,0
Aggregate 10 day,DAY_10,44398.5,37468.5,95.5,20,0,3892.5,525
Aggregate 11 day,DAY_11,40355.5,44837.5,137,0,0,1070,0
Aggregate 12 day,DAY_12,51676,30564,237,0,0,3923,0
Aggregate 13 day,DAY_13,58895.5,21475,185,23.5,0,5425,396
Aggregate 14 day,DAY_14,0,0,0,0,0,0,86400
Aggregate 15 day,DAY_15,39453.5,39566.5,105.5,1187,0,5589.5,498
Aggregate 16 day,DAY_16,50524,34308,40,0,0,1528,0
Aggregate 17 day,DAY_17,59226.5,25972.5,399,0,0,802,0
Aggregate 18 day,DAY_18,52359.5,29827,546.5,0,0,3667,0
Aggregate 19 day,DAY_19,55231,28665,199,0,0,2305,0
Aggregate 20 day,DAY_20,78250,7354.5,1.5,23.5,0,17.5,162.5
Aggregate 21 day,DAY_21,23130,6069,85,104,0,1351,55661
Aggregate 22 day,DAY_22,47042.5,35724,185.5,0,0,3266.5,181.5
Aggregate 23 day,DAY_23,47293.5,34724,2234,0,0,2148.5,0
Aggregate 24 day,DAY_24,60201.5,25667,26.5,0,0,505,0
Aggregate 25 day,DAY_25,0,0,0,0,0,0,0
Aggregate 26 day,DAY_26,0,0,0,0,0,0,0
Aggregate 27 day,DAY_27,0,0,0,0,0,0,0
Aggregate 28 day,DAY_28,0,0,0,0,0,0,0
Aggregate 29 day,DAY_29,0,0,0,0,0,0,0
Aggregate 30 day,DAY_30,0,0,0,0,0,0,0
Aggregate 31 day,DAY_31,0,0,0,0,0,0,0
